movieId,id,title,vote_average,vote_count,runtime,original_language,overview,popularity,genres,runtime_buckets,popularity_norm,vote_average_norm,vote_count_norm,overview_length
1,862,Toy Story,7.971,17152,81,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",78.404,"Animation, Adventure, Family, Comedy",medium,0.2592274220525225,0.8939105080183919,0.49723148282359764,50
2,8844,Jumanji,7.239,9833,104,en,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",13.444,"Adventure, Fantasy, Family",medium,0.04279364825513598,0.8118201188740608,0.28505580518915785,67
3,15602,Grumpier Old Men,6.476,347,101,en,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",14.815,"Romance, Comedy",medium,0.04736154702170335,0.7262532241785354,0.010059428902739528,56
4,31357,Waiting to Exhale,6.183,142,127,en,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",14.451,"Comedy, Drama, Romance",long,0.04614877156508007,0.6933946394527307,0.004116538628786781,45
5,11862,Father of the Bride Part II,6.228,659,106,en,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",14.537,"Comedy, Family",medium,0.046435306425710844,0.6984411797689806,0.019104218002609075,54
6,949,Heat,7.903,6552,170,en,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,41.522,"Action, Crime, Drama",long,0.1363439484503795,0.8862846248738364,0.18994057109726048,50
7,11860,Sabrina,6.159,555,127,en,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",16.685,"Comedy, Romance",long,0.05359201434007023,0.6907031512840641,0.01608928830265256,29
8,45325,Tom and Huck,5.246,167,97,en,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",8.686,"Family, Action, Adventure, Drama",medium,0.026940940500703014,0.5883144555343726,0.004841281345122481,60
9,9091,Sudden Death,6.0,638,110,en,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,15.212,Action,medium,0.04868427190159194,0.672872042166648,0.018495434120887087,43
10,710,GoldenEye,6.88,3530,130,en,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",26.642,"Adventure, Action, Thriller",long,0.08676675395984514,0.771559941684423,0.10233367154660096,63
11,9087,The American President,6.579,642,114,en,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",18.397,"Comedy, Drama, Romance",medium,0.05929605714704569,0.7378041942357295,0.018611392955500797,44
12,12110,Dracula: Dead and Loving It,6.03,879,88,en,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",24.618,"Comedy, Horror",medium,0.08002318933290686,0.6762364023774813,0.02548195390636324,39
13,21032,Balto,7.29,1887,78,en,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",15.431,"Family, Animation, Adventure",medium,0.049413936255988916,0.8175395312324774,0.0547035802290187,15
14,10858,Nixon,6.924,317,192,en,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,11.672,"Drama, History",long,0.03688969740585998,0.7764943366603119,0.009189737643136686,39
15,1408,Cutthroat Island,5.7,490,124,en,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",18.163,"Action, Adventure",long,0.05851641578207358,0.6392284400583156,0.014204957240179736,68
16,524,Casino,8.004,5240,179,en,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",29.212,"Crime, Drama",long,0.09532948177171835,0.8976113042503083,0.1519060733439629,57
17,4584,Sense and Sensibility,7.443,1522,136,en,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",22.296,"Drama, Romance",long,0.0722867480958759,0.8346977683077268,0.044122336570517465,103
18,5,Four Rooms,5.784,2436,98,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,15.295,Comedy,medium,0.04896081136010769,0.6486486486486487,0.07061893027975069,38
19,9273,Ace Ventura: When Nature Calls,6.3,3781,90,en,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",26.697,"Crime, Comedy, Adventure",medium,0.08695000299862063,0.7065156442749804,0.10961008841861139,59
20,11517,Money Train,5.836,689,110,en,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",17.879,"Action, Comedy, Crime",medium,0.05757018438185102,0.6544802063474263,0.019973909262211913,23
